Designator,Mid X,Mid Y,Rotation,Layer
C1,154.0,-82.0,0.0,bottom
C2,181.08,-90.0,90.0,bottom
C3,146.0,-109.05,270.0,bottom
C4,173.05,-117.05,180.0,bottom
D1,177.6,-90.0,270.0,bottom
D2,173.05,-113.55,0.0,bottom
D3,149.5,-109.05,90.0,bottom
D4,154.0,-85.4,180.0,bottom
H1,144.475,-80.475,0.0,top
H2,144.475,-118.575,0.0,top
H3,182.575,-118.575,0.0,top
H4,182.605,-80.475,0.0,top
J1A1,158.25,-70.0,0.0,bottom
J1B1,167.75,-70.0,0.0,bottom
R1,151.004484,-65.69,90.0,bottom
R2,151.0,-75.41033,270.0,bottom
R3,176.0,-75.5,270.0,bottom
R4,176.0,-65.786487,90.0,bottom
R5,163.0,-85.75,270.0,bottom
SW1,170.99,-90.0,90.0,top
SW2,173.05,-106.96,0.0,top
SW3,156.09,-109.05,270.0,top
SW4,154.0,-92.09,180.0,top
U1,163.1395,-69.962015,0.0,top
